name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.analytics_events,408 kB,536 kB,944 kB,1124,73
public.vanzari,48 kB,128 kB,176 kB,4,947
public.recoltari,48 kB,128 kB,176 kB,4,1157
public.activitati_agricole,48 kB,112 kB,160 kB,2,1729
public.cheltuieli_diverse,56 kB,96 kB,152 kB,2,1244
public.parcele,48 kB,80 kB,128 kB,4,2823
public.clienti,48 kB,72 kB,120 kB,8,774
public.comenzi,16 kB,96 kB,112 kB,5,817
public.vanzari_butasi,16 kB,96 kB,112 kB,5,466
public.investitii,16 kB,88 kB,104 kB,0,56
public.miscari_stoc,16 kB,80 kB,96 kB,9,513
public.culegatori,16 kB,80 kB,96 kB,1,673
public.nomenclatoare,48 kB,48 kB,96 kB,120,147
public.alert_dismissals,16 kB,80 kB,96 kB,29,139
public.vanzari_butasi_items,16 kB,64 kB,80 kB,12,171
public.profiles,40 kB,32 kB,72 kB,2,7028
public.tenant_metrics_daily,16 kB,48 kB,64 kB,8,11
public.audit_logs,16 kB,48 kB,64 kB,0,75
public.tenants,40 kB,16 kB,56 kB,2,15905
public.activitati_extra_season,8192 bytes,48 kB,56 kB,0,8
public.feedback,8192 bytes,32 kB,40 kB,0,4
public.integrations_google_contacts,8192 bytes,16 kB,24 kB,0,67
