name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public.activitati_agricole,"",2026-02-26 15:54,"",2026-03-01 19:57,             0,            26,            50,no,            50,no
public.alert_dismissals,"","","","",             9,             0,            52,no,            51,no
public.analytics_events,"",2026-03-08 09:44,"",2026-03-09 15:46,"         1,099",           159,           270,no,           160,no
public.cheltuieli_diverse,"",2026-02-26 15:54,"",2026-03-01 08:19,             8,            45,            52,no,            51,no
public.clienti,"",2026-03-09 15:34,"",2026-02-28 22:56,             6,             4,            51,no,            51,no
public.comenzi,"","","",2026-03-08 09:38,             4,            41,            51,no,            50,no
public.culegatori,"","","",2026-02-27 11:51,             3,            46,            51,no,            50,no
public.miscari_stoc,"","","",2026-02-28 23:08,            19,            41,            54,no,            52,no
public.nomenclatoare,"","","",2026-02-08 13:44,           105,             0,            71,no,            60,no
public.parcele,"",2026-03-09 14:30,"",2026-03-09 15:23,             2,            37,            50,no,            50,no
public.profiles,"",2026-03-08 21:21,"",2026-03-09 14:31,             2,            23,            50,no,            50,no
public.recoltari,"",2026-02-28 22:47,"",2026-03-09 16:05,             1,            40,            50,no,            50,no
public.tenants,"",2026-03-09 16:05,"",2026-03-09 15:16,             2,             3,            50,no,            50,no
public.vanzari,"",2026-03-01 08:19,"",2026-02-28 22:47,             2,            17,            50,no,            50,no
public.vanzari_butasi,"","","",2026-02-28 20:56,             6,            35,            51,no,            51,no
public.vanzari_butasi_items,"","","",2026-03-01 20:38,             8,            36,            52,no,            51,no
public.activitati_extra_season,"","","","",            -1,             0,            50,no,            50,no
public.audit_logs,"","","","",            -1,             4,            50,no,            50,no
public.feedback,"","","","",            -1,             0,            50,no,            50,no
public.integrations_google_contacts,"","","","",            -1,             0,            50,no,            50,no
public.investitii,"","","","",            -1,            25,            50,no,            50,no
public.tenant_metrics_daily,"","","","",            -1,            11,            50,no,            50,no
